"set"	"accession"	"annotname"	"litteralname"	"chrsize.bp"	"annot"
"Zea_mays_MaizeGDBConsensus_v4"	"GCA_000005005.6"	"4"	4	"246994605"	">4 dna:chromosome chromosome:B73_RefGen_v4:4:1:246994605:1 REF"
"Zea_mays_MaizeGDBConsensus_v4"	"GCA_000005005.6"	"5"	5	"223902240"	">5 dna:chromosome chromosome:B73_RefGen_v4:5:1:223902240:1 REF"
"Zea_mays_MaizeGDBConsensus_v4"	"GCA_000005005.6"	"6"	6	"174033170"	">6 dna:chromosome chromosome:B73_RefGen_v4:6:1:174033170:1 REF"
"Zea_mays_MaizeGDBConsensus_v4"	"GCA_000005005.6"	"7"	7	"182381542"	">7 dna:chromosome chromosome:B73_RefGen_v4:7:1:182381542:1 REF"
"Zea_mays_MaizeGDBConsensus_v4"	"GCA_000005005.6"	"8"	8	"181122637"	">8 dna:chromosome chromosome:B73_RefGen_v4:8:1:181122637:1 REF"
"Zea_mays_MaizeGDBConsensus_v4"	"GCA_000005005.6"	"9"	9	"159769782"	">9 dna:chromosome chromosome:B73_RefGen_v4:9:1:159769782:1 REF"
"Zea_mays_MaizeGDBConsensus_v4"	"GCA_000005005.6"	"Mt"	"NA"	"569630"	">Mt dna:chromosome chromosome:B73_RefGen_v4:Mt:1:569630:1 REF"
"Zea_mays_MaizeGDBConsensus_v4"	"GCA_000005005.6"	"Pt"	"NA"	"140384"	">Pt dna:chromosome chromosome:B73_RefGen_v4:Pt:1:140384:1 REF"
"Brassica_rapa_CodyMarkelz2017"	"GCF_000309985.1"	"NC_024795.1"	"A01"	"28635137"	">NC_024795.1 Brassica rapa cultivar Chiifu-401-42 chromosome A1, Brapa_1.0, whole genome shotgun sequence"
"Brassica_rapa_CodyMarkelz2017"	"GCF_000309985.1"	"NC_024796.1"	"A02"	"27864329"	">NC_024796.1 Brassica rapa cultivar Chiifu-401-42 chromosome A2, Brapa_1.0, whole genome shotgun sequence"
"Brassica_rapa_CodyMarkelz2017"	"GCF_000309985.1"	"NC_024797.1"	"A03"	"31725688"	">NC_024797.1 Brassica rapa cultivar Chiifu-401-42 chromosome A3, Brapa_1.0, whole genome shotgun sequence"
"Brassica_rapa_CodyMarkelz2017"	"GCF_000309985.1"	"NC_024798.1"	"A04"	"18984343"	">NC_024798.1 Brassica rapa cultivar Chiifu-401-42 chromosome A4, Brapa_1.0, whole genome shotgun sequence"
"Brassica_rapa_CodyMarkelz2017"	"GCF_000309985.1"	"NC_024799.1"	"A05"	"23960834"	">NC_024799.1 Brassica rapa cultivar Chiifu-401-42 chromosome A5, Brapa_1.0, whole genome shotgun sequence"
"Brassica_rapa_CodyMarkelz2017"	"GCF_000309985.1"	"NC_024800.1"	"A06"	"26286742"	">NC_024800.1 Brassica rapa cultivar Chiifu-401-42 chromosome A6, Brapa_1.0, whole genome shotgun sequence"
"Brassica_rapa_CodyMarkelz2017"	"GCF_000309985.1"	"NC_024801.1"	"A07"	"22597724"	">NC_024801.1 Brassica rapa cultivar Chiifu-401-42 chromosome A7, Brapa_1.0, whole genome shotgun sequence"
"Brassica_rapa_CodyMarkelz2017"	"GCF_000309985.1"	"NC_024802.1"	"A08"	"21613650"	">NC_024802.1 Brassica rapa cultivar Chiifu-401-42 chromosome A8, Brapa_1.0, whole genome shotgun sequence"
"Brassica_rapa_CodyMarkelz2017"	"GCF_000309985.1"	"NC_024803.1"	"A09"	"37155481"	">NC_024803.1 Brassica rapa cultivar Chiifu-401-42 chromosome A9, Brapa_1.0, whole genome shotgun sequence"
"Brassica_rapa_CodyMarkelz2017"	"GCF_000309985.1"	"NC_024804.1"	"A10"	"17599535"	">NC_024804.1 Brassica rapa cultivar Chiifu-401-42 chromosome A10, Brapa_1.0, whole genome shotgun sequence"
"Brassica_rapa_CodyMarkelz2017"	"GCF_000309985.1"	"NC_015139.1"	"NA"	"153482"	">NC_015139.1 Brassica rapa subsp. pekinensis chloroplast, complete genome"
"Oryza_nivara_Ma2016"	"GCA_000576065.1"	"CM002500.1"	1	"42845077"	">CM002500.1 Oryza nivara chromosome 1, whole genome shotgun sequence"
"Oryza_nivara_Ma2016"	"GCA_000576065.1"	"CM002501.1"	10	"21549876"	">CM002501.1 Oryza nivara chromosome 10, whole genome shotgun sequence"
"Oryza_nivara_Ma2016"	"GCA_000576065.1"	"CM002502.1"	11	"24378308"	">CM002502.1 Oryza nivara chromosome 11, whole genome shotgun sequence"
"Oryza_nivara_Ma2016"	"GCA_000576065.1"	"CM002503.1"	12	"20076173"	">CM002503.1 Oryza nivara chromosome 12, whole genome shotgun sequence"
"Oryza_nivara_Ma2016"	"GCA_000576065.1"	"CM002504.1"	2	"35065507"	">CM002504.1 Oryza nivara chromosome 2, whole genome shotgun sequence"
"Oryza_nivara_Ma2016"	"GCA_000576065.1"	"CM002505.1"	3	"36134596"	">CM002505.1 Oryza nivara chromosome 3, whole genome shotgun sequence"
"Oryza_nivara_Ma2016"	"GCA_000576065.1"	"CM002506.1"	4	"28646061"	">CM002506.1 Oryza nivara chromosome 4, whole genome shotgun sequence"
"Oryza_nivara_Ma2016"	"GCA_000576065.1"	"CM002507.1"	5	"28014461"	">CM002507.1 Oryza nivara chromosome 5, whole genome shotgun sequence"
"Oryza_nivara_Ma2016"	"GCA_000576065.1"	"CM002508.1"	6	"29411429"	">CM002508.1 Oryza nivara chromosome 6, whole genome shotgun sequence"
"Oryza_nivara_Ma2016"	"GCA_000576065.1"	"CM002509.1"	7	"24717764"	">CM002509.1 Oryza nivara chromosome 7, whole genome shotgun sequence"
"Oryza_nivara_Ma2016"	"GCA_000576065.1"	"CM002510.1"	8	"26703665"	">CM002510.1 Oryza nivara chromosome 8, whole genome shotgun sequence"
"Oryza_nivara_Ma2016"	"GCA_000576065.1"	"CM002511.1"	9	"20407407"	">CM002511.1 Oryza nivara chromosome 9, whole genome shotgun sequence"
"Solanum_lycopersicum_Gonda2018"	"GCA_000188115.3"	"10"	10	"65633393"	">10 dna:chromosome chromosome:SL3.0:10:1:65633393:1 REF"
"Solanum_lycopersicum_Gonda2018"	"GCA_000188115.3"	"11"	11	"56597135"	">11 dna:chromosome chromosome:SL3.0:11:1:56597135:1 REF"
"Solanum_lycopersicum_Gonda2018"	"GCA_000188115.3"	"12"	12	"68126176"	">12 dna:chromosome chromosome:SL3.0:12:1:68126176:1 REF"
"Solanum_lycopersicum_Gonda2018"	"GCA_000188115.3"	"1"	"1"	"98455869"	">1 dna:chromosome chromosome:SL3.0:1:1:98455869:1 REF"
"Solanum_lycopersicum_Gonda2018"	"GCA_000188115.3"	"2"	"2"	"55977580"	">2 dna:chromosome chromosome:SL3.0:2:1:55977580:1 REF"
"Solanum_lycopersicum_Gonda2018"	"GCA_000188115.3"	"3"	"3"	"72290146"	">3 dna:chromosome chromosome:SL3.0:3:1:72290146:1 REF"
"Solanum_lycopersicum_Gonda2018"	"GCA_000188115.3"	"4"	"4"	"66557038"	">4 dna:chromosome chromosome:SL3.0:4:1:66557038:1 REF"
"Solanum_lycopersicum_Gonda2018"	"GCA_000188115.3"	"5"	"5"	"66723567"	">5 dna:chromosome chromosome:SL3.0:5:1:66723567:1 REF"
"Solanum_lycopersicum_Gonda2018"	"GCA_000188115.3"	"6"	"6"	"49794276"	">6 dna:chromosome chromosome:SL3.0:6:1:49794276:1 REF"
"Solanum_lycopersicum_Gonda2018"	"GCA_000188115.3"	"7"	"7"	"68175699"	">7 dna:chromosome chromosome:SL3.0:7:1:68175699:1 REF"
"Solanum_lycopersicum_Gonda2018"	"GCA_000188115.3"	"8"	"8"	"65987440"	">8 dna:chromosome chromosome:SL3.0:8:1:65987440:1 REF"
"Solanum_lycopersicum_Gonda2018"	"GCA_000188115.3"	"9"	"9"	"72906345"	">9 dna:chromosome chromosome:SL3.0:9:1:72906345:1 REF"
"Triticum_dicoccoides_Jorgensen2017"	"GCA_002575655.1"	"CM008368.1"	"1A"	"502330251"	">CM008368.1 Aegilops tauschii subsp. strangulata cultivar AL8/78 chromosome 1D, whole genome shotgun sequence"
"Triticum_dicoccoides_Jorgensen2017"	"GCA_002575655.1"	"CM008369.1"	"2A"	"651661114"	">CM008369.1 Aegilops tauschii subsp. strangulata cultivar AL8/78 chromosome 2D, whole genome shotgun sequence"
"Triticum_dicoccoides_Jorgensen2017"	"GCA_002575655.1"	"CM008370.1"	"3A"	"627182665"	">CM008370.1 Aegilops tauschii subsp. strangulata cultivar AL8/78 chromosome 3D, whole genome shotgun sequence"
"Triticum_dicoccoides_Jorgensen2017"	"GCA_002575655.1"	"CM008371.1"	"4A"	"526018785"	">CM008371.1 Aegilops tauschii subsp. strangulata cultivar AL8/78 chromosome 4D, whole genome shotgun sequence"
"Triticum_dicoccoides_Jorgensen2017"	"GCA_002575655.1"	"CM008372.1"	"5A"	"577375663"	">CM008372.1 Aegilops tauschii subsp. strangulata cultivar AL8/78 chromosome 5D, whole genome shotgun sequence"
"Triticum_dicoccoides_Jorgensen2017"	"GCA_002575655.1"	"CM008373.1"	"6A"	"496019527"	">CM008373.1 Aegilops tauschii subsp. strangulata cultivar AL8/78 chromosome 6D, whole genome shotgun sequence"
"Triticum_dicoccoides_Jorgensen2017"	"GCA_002575655.1"	"CM008374.1"	"7A"	"644716137"	">CM008374.1 Aegilops tauschii subsp. strangulata cultivar AL8/78 chromosome 7D, whole genome shotgun sequence"
"Triticum_dicoccoides_Jorgensen2017"	"GCA_002575655.1"	"CM008368.1"	"1B"	"502330251"	">CM008368.1 Aegilops tauschii subsp. strangulata cultivar AL8/78 chromosome 1D, whole genome shotgun sequence"
"Triticum_dicoccoides_Jorgensen2017"	"GCA_002575655.1"	"CM008369.1"	"2B"	"651661114"	">CM008369.1 Aegilops tauschii subsp. strangulata cultivar AL8/78 chromosome 2D, whole genome shotgun sequence"
"Triticum_dicoccoides_Jorgensen2017"	"GCA_002575655.1"	"CM008370.1"	"3B"	"627182665"	">CM008370.1 Aegilops tauschii subsp. strangulata cultivar AL8/78 chromosome 3D, whole genome shotgun sequence"
"Triticum_dicoccoides_Jorgensen2017"	"GCA_002575655.1"	"CM008371.1"	"4B"	"526018785"	">CM008371.1 Aegilops tauschii subsp. strangulata cultivar AL8/78 chromosome 4D, whole genome shotgun sequence"
"Triticum_dicoccoides_Jorgensen2017"	"GCA_002575655.1"	"CM008372.1"	"5B"	"577375663"	">CM008372.1 Aegilops tauschii subsp. strangulata cultivar AL8/78 chromosome 5D, whole genome shotgun sequence"
"Triticum_dicoccoides_Jorgensen2017"	"GCA_002575655.1"	"CM008373.1"	"6B"	"496019527"	">CM008373.1 Aegilops tauschii subsp. strangulata cultivar AL8/78 chromosome 6D, whole genome shotgun sequence"
"Triticum_dicoccoides_Jorgensen2017"	"GCA_002575655.1"	"CM008374.1"	"7B"	"644716137"	">CM008374.1 Aegilops tauschii subsp. strangulata cultivar AL8/78 chromosome 7D, whole genome shotgun sequence"
"Arabidopsis_thaliana_Serin2017"	"GCA_000001735.2"	"CP002684.1"	1	"30427671"	">CP002684.1 Arabidopsis thaliana chromosome 1 sequence"
"Arabidopsis_thaliana_Serin2017"	"GCA_000001735.2"	"CP002685.1"	2	"19698289"	">CP002685.1 Arabidopsis thaliana chromosome 2 sequence"
"Arabidopsis_thaliana_Serin2017"	"GCA_000001735.2"	"CP002686.1"	3	"23459830"	">CP002686.1 Arabidopsis thaliana chromosome 3 sequence"
"Arabidopsis_thaliana_Serin2017"	"GCA_000001735.2"	"CP002687.1"	4	"18585056"	">CP002687.1 Arabidopsis thaliana chromosome 4 sequence"
"Arabidopsis_thaliana_Serin2017"	"GCA_000001735.2"	"CP002688.1"	5	"26975502"	">CP002688.1 Arabidopsis thaliana chromosome 5 sequence"
"Arabidopsis_thaliana_Serin2017"	"GCA_000001735.2"	"BK010421.1"	"NA"	"367808"	">BK010421.1 TPA_asm: Arabidopsis thaliana ecotype Col-0 mitochondrion, complete genome"
"Arabidopsis_thaliana_Serin2017"	"GCA_000001735.2"	"AP000423.1"	"NA"	"154478"	">AP000423.1 Arabidopsis thaliana chloroplast DNA, complete genome, ecotype: Columbia"
"Cenchrus_americanus_Pucher2017"	"GCA_002174835.2"	"CM007982.2"	1	"275469374"	"CM007982.2 Cenchrus americanus cultivar Tift 23D2B1-P1-P5 chromosome 1, whole genome shotgun sequence"
"Cenchrus_americanus_Pucher2017"	"GCA_002174835.2"	"CM007983.2"	2	"243054348"	"CM007983.2 Cenchrus americanus cultivar Tift 23D2B1-P1-P5 chromosome 2, whole genome shotgun sequence"
"Cenchrus_americanus_Pucher2017"	"GCA_002174835.2"	"CM007984.2"	3	"300907625"	"CM007984.2 Cenchrus americanus cultivar Tift 23D2B1-P1-P5 chromosome 3, whole genome shotgun sequence"
"Cenchrus_americanus_Pucher2017"	"GCA_002174835.2"	"CM007985.2"	4	"191830058"	"CM007985.2 Cenchrus americanus cultivar Tift 23D2B1-P1-P5 chromosome 4, whole genome shotgun sequence"
"Cenchrus_americanus_Pucher2017"	"GCA_002174835.2"	"CM007986.2"	5	"158694342"	"CM007986.2 Cenchrus americanus cultivar Tift 23D2B1-P1-P5 chromosome 5, whole genome shotgun sequence"
"Cenchrus_americanus_Pucher2017"	"GCA_002174835.2"	"CM007987.2"	6	"240570548"	"CM007987.2 Cenchrus americanus cultivar Tift 23D2B1-P1-P5 chromosome 6, whole genome shotgun sequence"
"Cenchrus_americanus_Pucher2017"	"GCA_002174835.2"	"CM007988.2"	7	"154011256"	"CM007988.2 Cenchrus americanus cultivar Tift 23D2B1-P1-P5 chromosome 7, whole genome shotgun sequence"
"Brassica_napus_Yang2017"	"GCF_000686985.2"	"NC_027757.2"	"A01"	"35822559"	"NC_027757.2 Brassica napus cultivar ZS11 chromosome A1, Bra_napus_v2.0, whole genome shotgun sequence"
"Brassica_napus_Yang2017"	"GCF_000686985.2"	"NC_027758.2"	"A02"	"35332830"	"NC_027758.2 Brassica napus cultivar ZS11 chromosome A2, Bra_napus_v2.0, whole genome shotgun sequence"
"Brassica_napus_Yang2017"	"GCF_000686985.2"	"NC_027759.2"	"A03"	"49139117"	"NC_027759.2 Brassica napus cultivar ZS11 chromosome A3, Bra_napus_v2.0, whole genome shotgun sequence"
"Brassica_napus_Yang2017"	"GCF_000686985.2"	"NC_027760.2"	"A04"	"23556786"	"NC_027760.2 Brassica napus cultivar ZS11 chromosome A4, Bra_napus_v2.0, whole genome shotgun sequence"
"Brassica_napus_Yang2017"	"GCF_000686985.2"	"NC_027761.2"	"A05"	"31473442"	"NC_027761.2 Brassica napus cultivar ZS11 chromosome A5, Bra_napus_v2.0, whole genome shotgun sequence"
"Brassica_napus_Yang2017"	"GCF_000686985.2"	"NC_027762.2"	"A06"	"36080978"	"NC_027762.2 Brassica napus cultivar ZS11 chromosome A6, Bra_napus_v2.0, whole genome shotgun sequence"
"Brassica_napus_Yang2017"	"GCF_000686985.2"	"NC_027763.2"	"A07"	"27426920"	"NC_027763.2 Brassica napus cultivar ZS11 chromosome A7, Bra_napus_v2.0, whole genome shotgun sequence"
"Brassica_napus_Yang2017"	"GCF_000686985.2"	"NC_027764.2"	"A08"	"27741901"	"NC_027764.2 Brassica napus cultivar ZS11 chromosome A8, Bra_napus_v2.0, whole genome shotgun sequence"
"Brassica_napus_Yang2017"	"GCF_000686985.2"	"NC_027765.2"	"A09"	"45943547"	"NC_027765.2 Brassica napus cultivar ZS11 chromosome A9, Bra_napus_v2.0, whole genome shotgun sequence"
"Brassica_napus_Yang2017"	"GCF_000686985.2"	"NC_027766.2"	"A10"	"22217278"	"NC_027766.2 Brassica napus cultivar ZS11 chromosome A10, Bra_napus_v2.0, whole genome shotgun sequence"
"Brassica_napus_Yang2017"	"GCF_000686985.2"	"NC_027767.2"	"C01"	"50776417"	"NC_027767.2 Brassica napus cultivar ZS11 chromosome C1, Bra_napus_v2.0, whole genome shotgun sequence"
"Brassica_napus_Yang2017"	"GCF_000686985.2"	"NC_027768.2"	"C02"	"68396429"	"NC_027768.2 Brassica napus cultivar ZS11 chromosome C2, Bra_napus_v2.0, whole genome shotgun sequence"
"Brassica_napus_Yang2017"	"GCF_000686985.2"	"NC_027769.2"	"C03"	"80379029"	"NC_027769.2 Brassica napus cultivar ZS11 chromosome C3, Bra_napus_v2.0, whole genome shotgun sequence"
"Brassica_napus_Yang2017"	"GCF_000686985.2"	"NC_027770.2"	"C04"	"70552672"	"NC_027770.2 Brassica napus cultivar ZS11 chromosome C4, Bra_napus_v2.0, whole genome shotgun sequence"
"Brassica_napus_Yang2017"	"GCF_000686985.2"	"NC_027771.2"	"C05"	"44144641"	"NC_027771.2 Brassica napus cultivar ZS11 chromosome C5, Bra_napus_v2.0, whole genome shotgun sequence"
"Brassica_napus_Yang2017"	"GCF_000686985.2"	"NC_027772.2"	"C06"	"45505715"	"NC_027772.2 Brassica napus cultivar ZS11 chromosome C6, Bra_napus_v2.0, whole genome shotgun sequence"
"Brassica_napus_Yang2017"	"GCF_000686985.2"	"NC_027773.2"	"C07"	"62442587"	"NC_027773.2 Brassica napus cultivar ZS11 chromosome C7, Bra_napus_v2.0, whole genome shotgun sequence"
"Brassica_napus_Yang2017"	"GCF_000686985.2"	"NC_027774.2"	"C08"	"46347054"	"NC_027774.2 Brassica napus cultivar ZS11 chromosome C8, Bra_napus_v2.0, whole genome shotgun sequence"
"Brassica_napus_Yang2017"	"GCF_000686985.2"	"NC_027775.2"	"C09"	"51699379"	"NC_027775.2 Brassica napus cultivar ZS11 chromosome C9, Bra_napus_v2.0, whole genome shotgun sequence"
"Brassica_napus_Yang2017"	"GCF_000686985.2"	"NC_008285.1"	"NA"	"221853"	"NC_008285.1 Brassica napus mitochondrion, complete genome"
"Brassica_napus_Yang2017"	"GCF_000686985.2"	"NC_016734.1"	"NA"	"152860"	"NC_016734.1 Brassica napus chloroplast, complete genome"
"Brassica_napus_Yang2017"	"GCF_000686985.2"	"NC_004946.1"	"NA"	"11640"	"NC_004946.1 Brassica napus mitochondrial linear plasmid, complete sequence"
"Vitis_vinifera_Brault2020"	"GCA_000003745.2"	"FN597015.1"	1	"23037639"	"FN597015.1 Vitis vinifera, whole genome shotgun sequence of line PN40024, unoriented chromosome 1, chr1"
"Vitis_vinifera_Brault2020"	"GCA_000003745.2"	"FN597017.1"	2	"18779844"	"FN597017.1 Vitis vinifera, whole genome shotgun sequence of line PN40024, unoriented chromosome 2, chr2"
"Vitis_vinifera_Brault2020"	"GCA_000003745.2"	"FN597018.1"	3	"19341862"	"FN597018.1 Vitis vinifera, whole genome shotgun sequence of line PN40024, unoriented chromosome 3, chr3"
"Vitis_vinifera_Brault2020"	"GCA_000003745.2"	"FN597020.1"	4	"23867706"	"FN597020.1 Vitis vinifera, whole genome shotgun sequence of line PN40024, unoriented chromosome 4, chr4"
"Vitis_vinifera_Brault2020"	"GCA_000003745.2"	"FN597022.1"	5	"25021643"	"FN597022.1 Vitis vinifera, whole genome shotgun sequence of line PN40024, unoriented chromosome 5, chr5"
"Vitis_vinifera_Brault2020"	"GCA_000003745.2"	"FN597024.1"	6	"21508407"	"FN597024.1 Vitis vinifera, whole genome shotgun sequence of line PN40024, chromosome 6, chr6"
"Vitis_vinifera_Brault2020"	"GCA_000003745.2"	"FN597025.1"	7	"21026613"	"FN597025.1 Vitis vinifera, whole genome shotgun sequence of line PN40024, unoriented chromosome 7, chr7"
"Vitis_vinifera_Brault2020"	"GCA_000003745.2"	"FN597027.1"	8	"22385789"	"FN597027.1 Vitis vinifera, whole genome shotgun sequence of line PN40024, unoriented chromosome 8, chr8"
"Vitis_vinifera_Brault2020"	"GCA_000003745.2"	"FN597028.1"	9	"23006712"	"FN597028.1 Vitis vinifera, whole genome shotgun sequence of line PN40024, unoriented chromosome 9, chr9"
"Vitis_vinifera_Brault2020"	"GCA_000003745.2"	"FN597030.1"	10	"18140952"	"FN597030.1 Vitis vinifera, whole genome shotgun sequence of line PN40024, unoriented chromosome 10, chr10"
"Vitis_vinifera_Brault2020"	"GCA_000003745.2"	"FN597032.1"	11	"19818926"	"FN597032.1 Vitis vinifera, whole genome shotgun sequence of line PN40024, unoriented chromosome 11, chr11"
"Vitis_vinifera_Brault2020"	"GCA_000003745.2"	"FN597034.1"	12	"22702307"	"FN597034.1 Vitis vinifera, whole genome shotgun sequence of line PN40024, unoriented chromosome 12, chr12"
"Vitis_vinifera_Brault2020"	"GCA_000003745.2"	"FN597036.1"	13	"24396255"	"FN597036.1 Vitis vinifera, whole genome shotgun sequence of line PN40024, unoriented chromosome 13, chr13"
"Vitis_vinifera_Brault2020"	"GCA_000003745.2"	"FN597038.1"	14	"30274277"	"FN597038.1 Vitis vinifera, whole genome shotgun sequence of line PN40024, unoriented chromosome 14, chr14"
"Vitis_vinifera_Brault2020"	"GCA_000003745.2"	"FN597039.1"	15	"20304914"	"FN597039.1 Vitis vinifera, whole genome shotgun sequence of line PN40024, unoriented chromosome 15, chr15"
"Vitis_vinifera_Brault2020"	"GCA_000003745.2"	"FN597040.1"	16	"22053297"	"FN597040.1 Vitis vinifera, whole genome shotgun sequence of line PN40024, unoriented chromosome 16, chr16"
"Vitis_vinifera_Brault2020"	"GCA_000003745.2"	"FN597042.1"	17	"17126926"	"FN597042.1 Vitis vinifera, whole genome shotgun sequence of line PN40024, unoriented chromosome 17, chr17"
"Vitis_vinifera_Brault2020"	"GCA_000003745.2"	"FN597044.1"	18	"29360087"	"FN597044.1 Vitis vinifera, whole genome shotgun sequence of line PN40024, unoriented chromosome 18, chr18"
"Vitis_vinifera_Brault2020"	"GCA_000003745.2"	"FN597046.1"	19	"24021853"	"FN597046.1 Vitis vinifera, whole genome shotgun sequence of line PN40024, unoriented chromosome 19, chr19"
"Coffea_canephora_Crouzillat2020"	"NA"	"NA"	"A"	"NA"	"NA"
"Coffea_canephora_Crouzillat2020"	"NA"	"NA"	"B"	"NA"	"NA"
"Coffea_canephora_Crouzillat2020"	"NA"	"NA"	"C"	"NA"	"NA"
"Coffea_canephora_Crouzillat2020"	"NA"	"NA"	"D"	"NA"	"NA"
"Coffea_canephora_Crouzillat2020"	"NA"	"NA"	"E"	"NA"	"NA"
"Coffea_canephora_Crouzillat2020"	"NA"	"NA"	"F"	"NA"	"NA"
"Coffea_canephora_Crouzillat2020"	"NA"	"NA"	"G"	"NA"	"NA"
"Coffea_canephora_Crouzillat2020"	"NA"	"NA"	"H"	"NA"	"NA"
"Coffea_canephora_Crouzillat2020"	"NA"	"NA"	"I"	"NA"	"NA"
"Coffea_canephora_Crouzillat2020"	"NA"	"NA"	"J"	"NA"	"NA"
"Coffea_canephora_Crouzillat2020"	"NA"	"NA"	"K"	"NA"	"NA"
"Nelumbo_nucifera_Gui2018"	"GCA_003033695.1"	"GK000060.1"	1	"207008127"	"GK000060.1 TPA_asm: Nelumbo nucifera cultivar Chinese Tai-zi lotus chromosome 1, whole genome shotgun sequence"
"Nelumbo_nucifera_Gui2018"	"GCA_003033695.1"	"GK000061.1"	2	"113468866"	"GK000061.1 TPA_asm: Nelumbo nucifera cultivar Chinese Tai-zi lotus chromosome 2, whole genome shotgun sequence"
"Nelumbo_nucifera_Gui2018"	"GCA_003033695.1"	"GK000062.1"	3	"104033818"	"GK000062.1 TPA_asm: Nelumbo nucifera cultivar Chinese Tai-zi lotus chromosome 3, whole genome shotgun sequence"
"Nelumbo_nucifera_Gui2018"	"GCA_003033695.1"	"GK000063.1"	4	"87566864"	"GK000063.1 TPA_asm: Nelumbo nucifera cultivar Chinese Tai-zi lotus chromosome 4, whole genome shotgun sequence"
"Nelumbo_nucifera_Gui2018"	"GCA_003033695.1"	"GK000064.1"	5	"83274351"	"GK000064.1 TPA_asm: Nelumbo nucifera cultivar Chinese Tai-zi lotus chromosome 5, whole genome shotgun sequence"
"Nelumbo_nucifera_Gui2018"	"GCA_003033695.1"	"GK000065.1"	6	"67906199"	"GK000065.1 TPA_asm: Nelumbo nucifera cultivar Chinese Tai-zi lotus chromosome 6, whole genome shotgun sequence"
"Nelumbo_nucifera_Gui2018"	"GCA_003033695.1"	"GK000066.1"	7	"60749257"	"GK000066.1 TPA_asm: Nelumbo nucifera cultivar Chinese Tai-zi lotus chromosome 7, whole genome shotgun sequence"
"Nelumbo_nucifera_Gui2018"	"GCA_003033695.1"	"GK000067.1"	8	"58756596"	"GK000067.1 TPA_asm: Nelumbo nucifera cultivar Chinese Tai-zi lotus chromosome 8, whole genome shotgun sequence"
"Lupinus_angustifolius_Zhou2017"	"GCA_002285895.2"	"CP023113.2"	1	"42828440"	"CP023113.2 Lupinus angustifolius cultivar Tanjil chromosome LG-01"
"Lupinus_angustifolius_Zhou2017"	"GCA_002285895.2"	"CP023114.1"	2	"30912075"	"CP023114.1 Lupinus angustifolius cultivar Tanjil chromosome LG-02"
"Lupinus_angustifolius_Zhou2017"	"GCA_002285895.2"	"CP023115.1"	3	"38743218"	"CP023115.1 Lupinus angustifolius cultivar Tanjil chromosome LG-03"
"Lupinus_angustifolius_Zhou2017"	"GCA_002285895.2"	"CP023116.1"	4	"30409451"	"CP023116.1 Lupinus angustifolius cultivar Tanjil chromosome LG-04"
"Lupinus_angustifolius_Zhou2017"	"GCA_002285895.2"	"CP023117.1"	5	"33780835"	"CP023117.1 Lupinus angustifolius cultivar Tanjil chromosome LG-05"
"Lupinus_angustifolius_Zhou2017"	"GCA_002285895.2"	"CP023118.1"	6	"40902325"	"CP023118.1 Lupinus angustifolius cultivar Tanjil chromosome LG-06"
"Lupinus_angustifolius_Zhou2017"	"GCA_002285895.2"	"CP023119.1"	7	"22355711"	"CP023119.1 Lupinus angustifolius cultivar Tanjil chromosome LG-07"
"Lupinus_angustifolius_Zhou2017"	"GCA_002285895.2"	"CP023120.1"	8	"30636785"	"CP023120.1 Lupinus angustifolius cultivar Tanjil chromosome LG-08"
"Lupinus_angustifolius_Zhou2017"	"GCA_002285895.2"	"CP023121.1"	9	"26161844"	"CP023121.1 Lupinus angustifolius cultivar Tanjil chromosome LG-09"
"Lupinus_angustifolius_Zhou2017"	"GCA_002285895.2"	"CP023122.1"	10	"18743096"	"CP023122.1 Lupinus angustifolius cultivar Tanjil chromosome LG-10"
"Lupinus_angustifolius_Zhou2017"	"GCA_002285895.2"	"CP023123.1"	11	"41629797"	"CP023123.1 Lupinus angustifolius cultivar Tanjil chromosome LG-11"
"Lupinus_angustifolius_Zhou2017"	"GCA_002285895.2"	"CP023124.1"	12	"23536606"	"CP023124.1 Lupinus angustifolius cultivar Tanjil chromosome LG-12"
"Lupinus_angustifolius_Zhou2017"	"GCA_002285895.2"	"CP023125.1"	13	"20914897"	"CP023125.1 Lupinus angustifolius cultivar Tanjil chromosome LG-13"
"Lupinus_angustifolius_Zhou2017"	"GCA_002285895.2"	"CP023126.1"	14	"21959816"	"CP023126.1 Lupinus angustifolius cultivar Tanjil chromosome LG-14"
"Lupinus_angustifolius_Zhou2017"	"GCA_002285895.2"	"CP023127.1"	15	"24202101"	"CP023127.1 Lupinus angustifolius cultivar Tanjil chromosome LG-15"
"Lupinus_angustifolius_Zhou2017"	"GCA_002285895.2"	"CP023128.1"	16	"22759930"	"CP023128.1 Lupinus angustifolius cultivar Tanjil chromosome LG-16"
"Lupinus_angustifolius_Zhou2017"	"GCA_002285895.2"	"CP023129.1"	17	"17494560"	"CP023129.1 Lupinus angustifolius cultivar Tanjil chromosome LG-17"
"Lupinus_angustifolius_Zhou2017"	"GCA_002285895.2"	"CP023130.1"	18	"21513901"	"CP023130.1 Lupinus angustifolius cultivar Tanjil chromosome LG-18"
"Lupinus_angustifolius_Zhou2017"	"GCA_002285895.2"	"CP023131.1"	19	"21811712"	"CP023131.1 Lupinus angustifolius cultivar Tanjil chromosome LG-19"
